>OSTLU_14894
3.A.1.205.11 - Evalue: 5.14353E-43	[TI3000980, TI3001052, TI3000983]
2.A.18.2.3 - Evalue: 8.74959E-8	[TI1001573, TI1000085, TI1000084, TI1008093, TI1016556, TI1012866, TI1017403, TI1015466, TI1001608, TI1002150, TI1001606, TI1000516, TI1000637, TI1000119, TI1000117, TI1002674, TI1002279, TI1003402, TI1002159, TI1000135, TI1002018, TI1002414, TI1000771, TI1001101, TI1000132, TI1000770, TI1021056, TI1002418, TI1018044, TI1000250, TI1012344, TI1000809, TI1011893, TI1003073, TI1008641, TI1008363, TI1000769, TI1003077, TI1000923, TI1000768, TI1000767, TI1000404, TI1001977, TI1000129, TI1000886, TI1001611, TI1002302, TI1002765, TI1000586, TI1000344, TI1000069, TI1002007, TI1000343, TI1000342, TI1000066, TI1000186, TI1001550, TI1000065, TI1000064, TI1000060, TI1019887, TI1012203, TI1008350, TI1009048, TI1002095, TI1003063, TI1003460, TI1012174, TI1002096, TI1000858, TI1001308, TI1002099, TI1002374, TI1002012, TI1003101, TI1000611, TI1000610, TI1003843, TI1014859, TI1011623, TI1000909, TI1001958, TI1001319, TI1000504, TI1002121, TI1000107, TI1000227, TI1002521, TI1000346, TI1000467, TI1000587, TI1003457, TI1000322, TI1000320, TI1001771, TI1001770, TI1020452, TI1016472, TI1001251, TI1000041, TI1016473, TI1000161, TI1011612, TI1003282, TI1001928, TI1005186, TI1001526, TI1003289, TI1001921, TI1003840, TI1000039, TI1001523, TI1003841, TI1001764, TI1003842, TI1003304, TI1002613, TI1002218, TI1000054, TI1000053, TI1003828, TI1000051, TI1000291, TI1011209, TI1012259, TI1012261, TI1002063, TI1000848, TI1002463, TI1003158, TI1000567, TI1001258, TI1002104, TI1001654, TI1000023, TI1003815, TI1000381, TI1017423, TI1017425, TI1021080, TI1011953, TI1009088, TI1017419, TI1002175, TI1005202, TI1000779, TI1000019, TI1001106, TI1000017, TI1000411, TI1002456, TI1000035, TI1000156, TI1000550, TI1000033, TI1000275, TI1000274, TI1002715, TI1001241, TI1017411, TI1017415, TI1017407, TI1011673, TI1000705, TI1009876, TI1000549, TI1001759, TI1003530, TI1000822, TI1001911, TI1001756, TI1001634, TI1000424, TI1002202, TI1001754]
2.A.18.2.2 - Evalue: 1.24161E-12	[TI1000119, TI1000039]
2.A.18.8.7 - Evalue: 1.70772E-14	[TI1001573, TI1000085, TI1000084, TI1008093, TI1017403, TI1016556, TI1012866, TI1015466, TI1001608, TI1002150, TI1001606, TI1000516, TI1000637, TI1000119, TI1000117, TI1002674, TI1002279, TI1002159, TI1003402, TI1000135, TI1002018, TI1002414, TI1001101, TI1000771, TI1000132, TI1000770, TI1002418, TI1018044, TI1021056, TI1000250, TI1012344, TI1000809, TI1011893, TI1003073, TI1008641, TI1008363, TI1000923, TI1000769, TI1003077, TI1000768, TI1001977, TI1000767, TI1000404, TI1000129, TI1000886, TI1001611, TI1002302, TI1002765, TI1000344, TI1000069, TI1000586, TI1000343, TI1002007, TI1000342, TI1000066, TI1000065, TI1001550, TI1000186, TI1000064, TI1000060, TI1019887, TI1012203, TI1008350, TI1009048, TI1003063, TI1002095, TI1002096, TI1003460, TI1012174, TI1000858, TI1001308, TI1002374, TI1002099, TI1003101, TI1002012, TI1000611, TI1000610, TI1003843, TI1014859, TI1011623, TI1000909, TI1001958, TI1001319, TI1000504, TI1002121, TI1000107, TI1000227, TI1000346, TI1002521, TI1000467, TI1003457, TI1000587, TI1000322, TI1000320, TI1001771, TI1001770, TI1020452, TI1001251, TI1000041, TI1016472, TI1016473, TI1000161, TI1011612, TI1001928, TI1003282, TI1005186, TI1001526, TI1003289, TI1001921, TI1003840, TI1000039, TI1003841, TI1001523, TI1001764, TI1003842, TI1003304, TI1002613, TI1002218, TI1000054, TI1000053, TI1003828, TI1000051, TI1000291, TI1011209, TI1012259, TI1012261, TI1002063, TI1000848, TI1002463, TI1003158, TI1000567, TI1002104, TI1001654, TI1001258, TI1000023, TI1003815, TI1000381, TI1017423, TI1017425, TI1011953, TI1021080, TI1009088, TI1017419, TI1002175, TI1005202, TI1000779, TI1000019, TI1000017, TI1001106, TI1002456, TI1000411, TI1000035, TI1000156, TI1000550, TI1000033, TI1000275, TI1000274, TI1002715, TI1001241, TI1017411, TI1017415, TI1017407, TI1011673, TI1000705, TI1009876, TI1000549, TI1001759, TI1000822, TI1003530, TI1001911, TI1001756, TI1001634, TI1000424, TI1002202, TI1001754]
2.A.18.8.6 - Evalue: 1.6386E-9	[TO1015466, TO1016556, TO1017403, TO1008093, TO1000809, TO1000923, TO1000769, TO1017407, TO1000132, TO1000770, TO1002674, TO1000771, TO1001101, TO1000250, TO1002150, TO1002715, TO1000019, TO1000779, TO1000017, TO1001106, TO1000411, TO1003402, TO1002159, TO1002279, TO1000135, TO1001608, TO1000637, TO1000516, TO1001606, TO1008363, TO1012866, TO1003073, TO1011893, TO1021080, TO1012344, TO1001573, TO1003077, TO1000084, TO1000085, TO1018044, TO1001977, TO1000129, TO1000767, TO1000404, TO1008641, TO1000768, TO1000886, TO1001611, TO1002302, TO1017425, TO1017423, TO1000705, TO1001759, TO1000549, TO1009088, TO1012259, TO1000275, TO1000033, TO1000550, TO1001241, TO1000274, TO1002175, TO1001526, TO1000039, TO1002218, TO1021056, TO1002613, TO1001921, TO1001764, TO1001523, TO1003304, TO1005202, TO1000035, TO1002456, TO1000156, TO1017411, TO1011953, TO1017419, TO1011673, TO1017415, TO1000023, TO1003530, TO1000381, TO1003815, TO1000822, TO1001911, TO1000424, TO1001634, TO1001756, TO1001754, TO1009876, TO1002202, TO1000848, TO1016473, TO1016472, TO1003282, TO1011623, TO1014859, TO1003840, TO1003289, TO1000053, TO1000054, TO1000051, TO1000291, TO1005186, TO1000611, TO1000610, TO1003843, TO1003842, TO1003841, TO1001928, TO1003828, TO1012261, TO1011612, TO1001771, TO1003158, TO1000320, TO1002463, TO1001770, TO1000161, TO1000041, TO1011209, TO1001251, TO1002063, TO1000567, TO1001258, TO1001654, TO1002104, TO1000322, TO1008350, TO1012174, TO1001319, TO1001958, TO1019887, TO1000909, TO1002012, TO1003101, TO1002099, TO1002374, TO1003460, TO1002096, TO1002095, TO1003063, TO1002418, TO1000119, TO1009048, TO1000117, TO1002414, TO1002018, TO1001308, TO1000858, TO1012203, TO1000066, TO1000342, TO1000064, TO1000065, TO1000186, TO1002121, TO1001550, TO1000060, TO1000107, TO1000504, TO1020452, TO1000227, TO1002007, TO1000587, TO1000346, TO1002765, TO1000467, TO1003457, TO1000343, TO1000344, TO1000069, TO1002521, TO1000586]
2.A.18.8.5 - Evalue: 1.2028E-7	[TO1016556, TO1015466, TO1017403, TO1000809, TO1008093, TO1000923, TO1000769, TO1017407, TO1000770, TO1000132, TO1002674, TO1001101, TO1000771, TO1000250, TO1002150, TO1002715, TO1000019, TO1000779, TO1000017, TO1001106, TO1000411, TO1003402, TO1002159, TO1002279, TO1000135, TO1001608, TO1000516, TO1000637, TO1008363, TO1001606, TO1012866, TO1003073, TO1011893, TO1012344, TO1021080, TO1001573, TO1003077, TO1000084, TO1000085, TO1000767, TO1000129, TO1018044, TO1001977, TO1000404, TO1008641, TO1000768, TO1000886, TO1001611, TO1002302, TO1017425, TO1017423, TO1000705, TO1001759, TO1000549, TO1009088, TO1012259, TO1000033, TO1000275, TO1000550, TO1001241, TO1000274, TO1002175, TO1001526, TO1002218, TO1021056, TO1000039, TO1001921, TO1002613, TO1001764, TO1001523, TO1005202, TO1003304, TO1002456, TO1000035, TO1000156, TO1017411, TO1011953, TO1017419, TO1011673, TO1017415, TO1000023, TO1003530, TO1000381, TO1000822, TO1001911, TO1003815, TO1001634, TO1000424, TO1001756, TO1001754, TO1009876, TO1002202, TO1000848, TO1016473, TO1016472, TO1003282, TO1011623, TO1014859, TO1003840, TO1003289, TO1000053, TO1000054, TO1000051, TO1000291, TO1005186, TO1000611, TO1000610, TO1003843, TO1003842, TO1003841, TO1001928, TO1003828, TO1012261, TO1011612, TO1001771, TO1003158, TO1000320, TO1002463, TO1001770, TO1000161, TO1001251, TO1000041, TO1011209, TO1002063, TO1000567, TO1001654, TO1001258, TO1002104, TO1000322, TO1008350, TO1012174, TO1001319, TO1001958, TO1019887, TO1000909, TO1003101, TO1002012, TO1002374, TO1002099, TO1002096, TO1003460, TO1002095, TO1003063, TO1002418, TO1000119, TO1009048, TO1000117, TO1002414, TO1002018, TO1001308, TO1000858, TO1012203, TO1000066, TO1000342, TO1000064, TO1002121, TO1001550, TO1000065, TO1000186, TO1000060, TO1000107, TO1000504, TO1020452, TO1000227, TO1002007, TO1000587, TO1000346, TO1000467, TO1002765, TO1003457, TO1000343, TO1000586, TO1000344, TO1002521, TO1000069]
2.A.18.8.4 - Evalue: 8.08085E-13	[TO1016556, TO1015466, TO1017403, TO1000809, TO1008093, TO1000923, TO1000769, TO1017407, TO1000770, TO1002674, TO1000132, TO1000771, TO1001101, TO1000250, TO1002150, TO1000019, TO1002715, TO1000779, TO1000017, TO1001106, TO1000411, TO1003402, TO1002159, TO1002279, TO1000135, TO1001608, TO1000637, TO1000516, TO1001606, TO1008363, TO1003073, TO1012866, TO1011893, TO1021080, TO1012344, TO1001573, TO1000084, TO1003077, TO1000085, TO1018044, TO1000129, TO1001977, TO1000767, TO1000404, TO1008641, TO1000768, TO1000886, TO1001611, TO1002302, TO1017425, TO1017423, TO1000705, TO1000549, TO1001759, TO1009088, TO1012259, TO1000275, TO1000550, TO1000033, TO1001241, TO1000274, TO1002175, TO1001526, TO1021056, TO1002218, TO1000039, TO1001921, TO1002613, TO1001764, TO1005202, TO1003304, TO1001523, TO1000156, TO1002456, TO1000035, TO1017411, TO1011953, TO1017419, TO1011673, TO1017415, TO1000023, TO1003530, TO1000381, TO1003815, TO1000822, TO1001911, TO1001634, TO1000424, TO1001756, TO1001754, TO1009876, TO1002202, TO1000848, TO1016473, TO1016472, TO1003282, TO1014859, TO1011623, TO1003840, TO1003289, TO1000053, TO1000054, TO1000051, TO1000291, TO1005186, TO1000611, TO1000610, TO1003843, TO1003842, TO1003841, TO1001928, TO1003828, TO1012261, TO1011612, TO1001771, TO1003158, TO1000320, TO1002463, TO1001770, TO1000161, TO1011209, TO1000041, TO1001251, TO1002063, TO1000567, TO1001258, TO1001654, TO1002104, TO1000322, TO1008350, TO1001319, TO1012174, TO1001958, TO1019887, TO1000909, TO1002012, TO1003101, TO1002099, TO1002374, TO1003460, TO1002096, TO1003063, TO1002095, TO1002418, TO1000119, TO1009048, TO1000117, TO1002018, TO1002414, TO1001308, TO1000858, TO1012203, TO1000066, TO1000342, TO1000064, TO1002121, TO1000186, TO1001550, TO1000065, TO1000060, TO1000107, TO1000504, TO1020452, TO1000227, TO1000587, TO1002007, TO1000467, TO1002765, TO1000346, TO1003457, TO1000343, TO1000069, TO1000344, TO1002521, TO1000586]

>OSTLU_36081
3.A.20.1.1 - Evalue: 1.50022E-53	[TO0023944, TO0023943, TO0000740]
3.A.20.1.2 - Evalue: 9.4678E-59	[TO0023944, TO0023943, TO0000740]
3.A.20.1.3 - Evalue: 6.77612E-53	[TO0023944, TO0023943, TO0000740]
3.A.20.1.5 - Evalue: 5.7516E-58	[TO0023944, TO0023943, TO0000740]

>OSTLU_9210
3.D.1.6.3 - Evalue: 6.3281E-14	[TR6900001, TI6900028]

>OSTLU_9572
3.A.2.2.3 - Evalue: 8.16255E-10	[TX3000000, TR3000005, TR3000006]
3.A.2.2.6 - Evalue: 7.31308E-29	[TR3000005, TR3000006]
3.A.2.2.7 - Evalue: 4.01383E-24	[TR3000005, TR3000006]
3.A.2.2.4 - Evalue: 1.151E-28	[TX3000000, TR3000005, TR3000006]
3.A.2.2.5 - Evalue: 3.56711E-28	[TI3000010, TR3000005, TR3000006]

>OSTLU_8483
3.D.1.8.1 - Evalue: 2.15046E-39	[TR6900001, TI6900337, TI6900028]

>OSTLU_16353
3.D.1.6.1 - Evalue: 8.45271E-21	[TI6900028]
3.D.1.6.4 - Evalue: 1.7911E-38	[TI6900028]
3.D.1.6.3 - Evalue: 1.80516E-43	[TR6900001, TI6900028]
3.D.1.6.2 - Evalue: 3.53949E-19	[TI6900028]

>OSTLU_30420
2.A.36.2.2 - Evalue: 1.66316E-33	[TZ2900002]
2.A.36.2.3 - Evalue: 2.65599E-34	[TZ2900002]
2.A.36.2.1 - Evalue: 8.55441E-20	[TZ2900002]

>OSTLU_7271
3.D.4.8.1 - Evalue: 1.26772E-56	[TI6900067, TI6900088, TI6900068, TI6900091, TI6900072, TI6900071, TI6900086]

>OSTLU_6061
1.A.31.1.7 - Evalue: 2.89775E-27	[TO0000063]
1.A.31.1.8 - Evalue: 1.40757E-15	[TO0017155, TO0000239, TO0009693, TO0000034, TO0009695, TO0000075, TO0000030, TO0010516, TO0000150, TO0003396, TO0000560, TO0001012, TO0011574, TO0001414, TO0000966, TO0017321, TO0000149, TO0000268, TO0000021, TO0000063, TO0004097, TO0004099, TO0003166, TO0009225, TO0000971, TO0000531, TO0000532, TO0001622, TO0000534, TO0020864, TO0000058, TO0000013, TO0000254, TO0000012, TO0000099, TO0000131, TO0004100, TO0000740, TO0000421, TO0000209, TO0023944, TO0023943, TO0000009, TO0000205, TO0000048, TO0000244, TO0000001, TO0000242, TO0001281, TO0000081, TO0003387, TO0008438, TO0000552, TO0001048, TO0011684, TO0020429]
1.A.31.1.9 - Evalue: 2.93699E-30	[TR0011574, TR0000081, TR0003396, TR0009695, TR0009693, TR0000001, TR0001012, TR0000242, TR0000560, TR0000048, TR0000244, TR0000009, TR0000966, TR0017155, TR0000205, TR0001414, TR0000209, TR0011684, TR0000030, TR0010516, TR0000150, TR0001281, TR0000034, TR0000075, TR0008438, TR0003387, TR0001048, TR0000552, TR0000239, TR0020429, TR0020864, TR0004100, TR0000063, TR0000021, TR0000268, TR0000421, TR0000740, TR0023943, TR0000149, TR0023944, TR0004097, TR0009225, TR0004099, TR0000012, TR0000254, TR0000099, TR0000131, TR0001622, TR0003166, TR0000532, TR0000058, TR0000531, TR0000971, TR0000013, TR0017321, TR0000534]
1.A.31.1.3 - Evalue: 3.03672E-16	[TO0017155, TO0000239, TO0009693, TO0000034, TO0009695, TO0000075, TO0000030, TO0010516, TO0000150, TO0003396, TO0000560, TO0001012, TO0011574, TO0001414, TO0000966, TO0017321, TO0000149, TO0000268, TO0000021, TO0000063, TO0004097, TO0004099, TO0003166, TO0009225, TO0000531, TO0000971, TO0000532, TO0001622, TO0000534, TO0020864, TO0000058, TO0000013, TO0000254, TO0000012, TO0000099, TO0000131, TO0004100, TO0000421, TO0000740, TO0000209, TO0023944, TO0000009, TO0023943, TO0000205, TO0000048, TO0000244, TO0000001, TO0000242, TO0001281, TO0000081, TO0008438, TO0003387, TO0000552, TO0001048, TO0011684, TO0020429]
1.A.31.1.4 - Evalue: 4.53715E-28	[TO0017155, TO0000239, TO0009693, TO0000034, TO0009695, TO0000075, TO0000030, TO0010516, TO0000150, TO0003396, TO0000560, TO0001012, TO0011574, TO0001414, TO0000966, TO0017321, TO0000149, TO0000268, TO0000021, TO0000063, TO0004097, TO0004099, TO0003166, TO0009225, TO0000531, TO0000971, TO0000532, TO0001622, TO0000534, TO0020864, TO0000058, TO0000013, TO0000012, TO0000254, TO0000099, TO0000131, TO0004100, TO0000740, TO0000421, TO0000209, TO0023944, TO0023943, TO0000009, TO0000205, TO0000048, TO0000244, TO0000001, TO0000242, TO0001281, TO0000081, TO0008438, TO0003387, TO0000552, TO0001048, TO0011684, TO0020429]
1.A.31.1.6 - Evalue: 1.90303E-20	[TO0000063]
1.A.31.1.1 - Evalue: 6.39749E-24	[TO0017155, TO0000239, TO0009693, TO0000034, TO0009695, TO0000075, TO0000030, TO0010516, TO0000150, TO0003396, TO0000560, TO0001012, TO0011574, TO0001414, TO0000966, TO0017321, TO0000149, TO0000268, TO0000021, TO0000063, TO0004097, TO0004099, TO0003166, TO0009225, TO0000531, TO0000971, TO0000532, TO0001622, TO0000534, TO0020864, TO0000058, TO0000013, TO0000254, TO0000012, TO0000099, TO0000131, TO0004100, TO0000421, TO0000740, TO0000209, TO0023944, TO0000009, TO0023943, TO0000205, TO0000048, TO0000244, TO0000001, TO0000242, TO0001281, TO0000081, TO0008438, TO0003387, TO0000552, TO0001048, TO0011684, TO0020429]
1.A.31.1.2 - Evalue: 1.16708E-24	[TO0017155, TO0000239, TO0009693, TO0000034, TO0009695, TO0000075, TO0000030, TO0000150, TO0010516, TO0003396, TO0000560, TO0001012, TO0011574, TO0001414, TO0000966, TO0017321, TO0000149, TO0000268, TO0000021, TO0000063, TO0004097, TO0004099, TO0003166, TO0009225, TO0000531, TO0000971, TO0000532, TO0001622, TO0000534, TO0020864, TO0000058, TO0000013, TO0000012, TO0000254, TO0000099, TO0000131, TO0004100, TO0000421, TO0000740, TO0000209, TO0023944, TO0000009, TO0023943, TO0000205, TO0000048, TO0000244, TO0000001, TO0000242, TO0001281, TO0000081, TO0003387, TO0008438, TO0000552, TO0001048, TO0011684, TO0020429]

>OSTLU_30781
5.B.4.1.1 - Evalue: 4.91178E-12	[TR0012713]

>OSTLU_30780
5.B.4.1.1 - Evalue: 4.91178E-12	[TR0012713]

>OSTLU_31514
1.A.11.2.9 - Evalue: 1.21663E-39	[TO0000013]
1.A.11.4.7 - Evalue: 2.59277E-12	[TR0000013]
1.A.11.2.8 - Evalue: 1.71587E-41	[TO0000013]
1.A.11.1.4 - Evalue: 2.37067E-81	[TO0000013]
1.A.11.3.2 - Evalue: 3.53562E-61	[TI0000013, TO0000013]
1.A.11.2.3 - Evalue: 1.51267E-35	[TO0000013]
1.A.11.1.3 - Evalue: 9.99929E-75	[TO0000013]
1.A.11.3.1 - Evalue: 2.87887E-54	[TI0000013, TO0000013]
1.A.11.2.2 - Evalue: 4.41789E-43	[TO0000013]
1.A.11.1.2 - Evalue: 9.31578E-70	[TO0000013]
1.A.11.2.1 - Evalue: 3.87115E-40	[TO0000013]
1.A.11.1.1 - Evalue: 2.59989E-86	[TI0000013, TO0000013]
1.A.11.1.8 - Evalue: 1.29729E-72	[TO0000013]
1.A.11.2.7 - Evalue: 1.4739E-55	[TO0000013]
1.A.11.2.12 - Evalue: 1.19421E-38	[TO0000013]
1.A.11.1.7 - Evalue: 7.56695E-90	[TO0000013]
1.A.11.3.5 - Evalue: 4.90136E-71	[TR0000013]
1.A.11.2.6 - Evalue: 2.70973E-35	[TO0000013]
1.A.11.2.11 - Evalue: 1.10242E-20	[TO0000013]
1.A.11.1.6 - Evalue: 1.13782E-94	[TR0000013]
1.A.11.3.4 - Evalue: 3.35733E-72	[TR0000013]
1.A.11.2.14 - Evalue: 2.22149E-49	[TO0000013]
1.A.11.2.5 - Evalue: 6.67131E-36	[TO0000013]
1.A.11.1.5 - Evalue: 5.53743E-84	[TO0000013]
1.A.11.3.3 - Evalue: 3.31131E-77	[TO0000013]
1.A.11.2.13 - Evalue: 6.8966E-42	[TO0000013]
1.A.11.2.4 - Evalue: 1.76075E-36	[TI0000013]
1.A.11.2.10 - Evalue: 2.28866E-21	[TO0000013]

>OSTLU_29304
3.D.10.1.2 - Evalue: 9.80211E-48	[TI6900244, TI6900094, TI6900241]
3.D.10.1.7 - Evalue: 0.0	[TI6900094]
3.D.10.1.5 - Evalue: 8.40385E-49	[TI6900244, TI6900094, TI6900241]
3.D.10.1.4 - Evalue: 3.58275E-143	[TI6900244, TI6900094, TI6900241]
3.D.10.1.3 - Evalue: 1.21886E-107	[TI6900244, TI6900094, TI6900241]

>OSTLU_9445
3.D.1.6.1 - Evalue: 2.43856E-15	[TI6900028]
3.D.1.6.3 - Evalue: 4.58617E-20	[TR6900001, TI6900028]

>OSTLU_8114
3.D.3.5.2 - Evalue: 2.25873E-47	[TI6900100, TI6900123, TI6900104, TI6900103, TI6900118, TI6900120, TI6900285]

>OSTLU_32601
1.A.11.2.9 - Evalue: 1.63056E-15	[TO0000013]
1.A.11.2.8 - Evalue: 1.60037E-26	[TO0000013]
1.A.11.1.4 - Evalue: 3.01083E-115	[TO0000013]
1.A.11.3.2 - Evalue: 2.52931E-60	[TI0000013, TO0000013]
1.A.11.2.3 - Evalue: 1.11275E-23	[TO0000013]
1.A.11.1.3 - Evalue: 9.79666E-71	[TO0000013]
1.A.11.2.2 - Evalue: 3.15152E-50	[TO0000013]
1.A.11.3.1 - Evalue: 3.11296E-47	[TI0000013, TO0000013]
1.A.11.1.2 - Evalue: 4.85926E-45	[TO0000013]
1.A.11.2.1 - Evalue: 1.3522E-24	[TO0000013]
1.A.11.1.1 - Evalue: 1.93628E-91	[TI0000013, TO0000013]
1.A.11.1.8 - Evalue: 2.14504E-76	[TO0000013]
1.A.11.2.7 - Evalue: 8.97709E-35	[TO0000013]
1.A.11.2.12 - Evalue: 4.29476E-16	[TO0000013]
1.A.11.1.7 - Evalue: 2.3145E-77	[TO0000013]
1.A.11.3.5 - Evalue: 1.02518E-62	[TR0000013]
1.A.11.2.6 - Evalue: 8.07309E-27	[TO0000013]
1.A.11.2.11 - Evalue: 3.73981E-20	[TO0000013]
1.A.11.1.6 - Evalue: 2.51813E-81	[TR0000013]
1.A.11.3.4 - Evalue: 6.49193E-74	[TR0000013]
1.A.11.2.5 - Evalue: 1.45483E-34	[TO0000013]
1.A.11.2.14 - Evalue: 1.58515E-34	[TO0000013]
1.A.11.1.5 - Evalue: 9.17244E-89	[TO0000013]
1.A.11.3.3 - Evalue: 3.02101E-74	[TO0000013]
1.A.11.2.13 - Evalue: 5.61054E-26	[TO0000013]
1.A.11.2.4 - Evalue: 1.5367E-25	[TI0000013]
1.A.11.2.10 - Evalue: 2.09791E-19	[TO0000013]

>OSTLU_26150
3.D.1.6.1 - Evalue: 2.62749E-77	[TI6900028]
3.D.1.6.4 - Evalue: 7.98096E-98	[TI6900028]
3.D.1.6.3 - Evalue: 4.2103E-92	[TR6900001, TI6900028]
3.D.1.6.2 - Evalue: 4.75739E-69	[TI6900028]

>OSTLU_26031
3.A.20.1.3 - Evalue: 8.26035E-44	[TO0023944, TO0023943, TO0000740]

>OSTLU_41673
3.D.3.3.1 - Evalue: 3.785E-73	[TI6900100, TI6900123, TI6900104, TI6900103, TI6900118, TI6900120]
3.D.3.2.2 - Evalue: 1.97186E-60	[TI6900100, TI6900123, TI6900104, TI6900103, TI6900118, TI6900120]
3.D.3.2.1 - Evalue: 2.40688E-67	[TI6900100, TI6900123, TI6900104, TI6900103, TI6900118, TI6900120]
3.D.3.1.2 - Evalue: 2.25436E-53	[TI6900100, TI6900123, TI6900104, TI6900103, TI6900118, TI6900120]
3.D.3.1.1 - Evalue: 2.55677E-54	[TI6900100, TI6900123, TI6900104, TI6900103, TI6900118, TI6900120]

>OSTLU_27122
3.D.10.1.2 - Evalue: 2.99728E-7	[TI6900244, TI6900094, TI6900241]
3.D.10.1.4 - Evalue: 2.55193E-23	[TI6900244, TI6900094, TI6900241]
3.D.10.1.3 - Evalue: 8.87745E-17	[TI6900244, TI6900094, TI6900241]

>OSTLU_26154
3.A.16.1.5 - Evalue: 5.49727E-72	[TI0023943, TI0023944, TI0000740]

>OSTLU_37045
2.A.47.3.3 - Evalue: 5.41169E-51	[TR2900036]
2.A.47.3.2 - Evalue: 2.66927E-54	[TR2900049]
2.A.47.3.1 - Evalue: 3.75675E-111	[TI2000024]

>OSTLU_15159
2.A.106.2.4 - Evalue: 1.22531E-44	[TZ2900014]
2.A.106.2.5 - Evalue: 4.86916E-24	[TZ2900014]
2.A.106.1.6 - Evalue: 6.00884E-23	[TZ2900014]
2.A.106.1.1 - Evalue: 3.56613E-43	[TZ2900014]
2.A.106.2.1 - Evalue: 3.81664E-47	[TZ2900014]
2.A.106.2.2 - Evalue: 4.98725E-53	[TZ2900014]
2.A.106.1.3 - Evalue: 4.39731E-9	[TZ2900014]
2.A.106.2.3 - Evalue: 1.65273E-36	[TZ2900014]

>OSTLU_87422
2.A.1.2.73 - Evalue: 1.91862E-7	[TI2019562, TI2003978, TI2004815, TI2003977, TI2004028, TI2008806, TI2004298, TI2004461]
2.A.1.2.41 - Evalue: 9.29365E-11	[TI2019562, TI2004815, TI2003978, TI2003977, TI2004028, TI2008806, TI2004298, TI2004461]
2.A.1.2.39 - Evalue: 3.00405E-9	[TI2019562, TI2003978, TI2004815, TI2003977, TI2004028, TI2008806, TI2004298, TI2004461]
2.A.1.2.8 - Evalue: 1.69473E-9	[TI2008038, TI2000264, TI2000680]
2.A.1.2.38 - Evalue: 5.95971E-12	[TI2019562, TI2004815, TI2003978, TI2003977, TI2004028, TI2008806, TI2004298, TI2004461]
2.A.1.3.5 - Evalue: 3.47142E-8	[TI2008835]

>OSTLU_38010
2.A.1.1.17 - Evalue: 2.09564E-9	[TO0000082, TO0000190, TO0000138, TO0003014, TO0000027, TI0000027, TI0000190, TO0019001, TO0001490, TI0019001]
2.A.1.1.54 - Evalue: 1.00371E-10	[TO0000121]
2.A.1.82.2 - Evalue: 0.0	[TO0000058]
2.A.1.1.53 - Evalue: 1.07286E-15	[TO0000190, TO0000027, TO0000121, TO0019001]
2.A.1.82.3 - Evalue: 5.13021E-88	[TO0000038, TO0000003, TO0000002]
