reference	rast_only	refseq_only	transyt_only	rast_and_refseq	rast_and_transyt	refseq_and_transyt	all_combined	lineage
GCF_000253275.1	0	64	12	114	0	6	42	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, Flavobacterium branchiophilum FL-15
GCF_000756615.1	0	87	14	352	9	16	165	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus durus
GCF_000689415.1	0	113	44	376	14	16	263	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas knackmussii B13
GCF_000328685.1	0	91	11	240	1	9	42	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natronococcus, Natronococcus occultus SP4
GCF_000313175.2	0	41	19	122	5	9	46	Bacteria, Spirochaetes, Spirochaetia, Leptospirales, Leptospiraceae, Leptospira, Leptospira santarosai, Leptospira santarosai serovar Shermani str. LT 821
GCF_001507665.1	0	40	6	195	3	7	61	Bacteria, Terrabacteria group, Deinococcus-Thermus, Deinococci, Deinococcales, Deinococcaceae, Deinococcus actinosclerus
GCF_000023125.1	0	180	10	348	3	14	110	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Dyadobacter, Dyadobacter fermentans DSM 18053
GCF_001652485.1	0	89	19	588	16	17	233	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Ochrobactrum pseudogrignonense
GCF_000022205.1	0	65	10	206	1	7	30	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum, Halorubrum lacusprofundi ATCC 49239
GCF_001618885.1	0	35	10	154	6	5	125	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus condimenti
GCF_000237865.1	0	39	10	188	0	1	22	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Haloquadratum, Haloquadratum walsbyi C23
GCF_002214645.1	0	96	21	331	5	19	113	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Diaphorobacter polyhydroxybutyrativorans
GCF_000828975.1	0	80	12	143	6	8	65	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, unclassified Burkholderiales, Burkholderiales bacterium GJ-E10
GCF_000013285.1	0	48	3	192	2	3	108	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium perfringens ATCC 13124
GCF_000225325.1	0	17	5	79	2	3	49	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus sanfranciscensis TMW 1.1304
GCF_000023405.1	0	0	10	0	109	0	0	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Dermabacteraceae, Brachybacterium, Brachybacterium faecium DSM 4810
GCF_000164865.1	0	72	69	228	18	28	493	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Pluralibacter, [Enterobacter] lignolyticus SCF1
GCF_000025925.1	0	76	9	155	1	7	48	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella ruminicola 23
GCF_000025905.1	0	68	7	176	6	2	50	Bacteria, PVC group, Verrucomicrobia, Opitutae, Puniceicoccales, Puniceicoccaceae, Coraliomargarita, Coraliomargarita akajimensis DSM 45221
GCF_000723425.2	0	96	28	242	2	13	102	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, Mycobacterium marinum E11
GCF_000009825.1	0	58	21	418	14	11	167	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus clausii KSM-K16
GCF_002215215.1	0	211	30	699	12	14	184	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Granulosicoccaceae, Granulosicoccus, Granulosicoccus antarcticus IMCC3135
GCF_000833575.1	0	33	7	219	5	6	82	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium singulare
GCF_000015585.1	0	58	10	167	7	9	58	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae, Halorhodospira, Halorhodospira halophila SL1
GCF_000828895.1	0	49	11	165	8	10	59	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Serpentinomonas raichei
GCF_000007865.1	0	61	17	204	2	7	64	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, Mycobacterium avium complex (MAC), Mycobacterium avium, Mycobacterium avium subsp. paratuberculosis K-10
GCF_000091565.1	0	105	32	164	11	20	270	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Erwinia, Erwinia amylovora CFBP1430
GCF_000017305.1	0	42	8	277	13	9	117	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Kineosporiales, Kineosporiaceae, Kineococcus, Kineococcus radiotolerans SRS30216 = ATCC BAA-149
GCF_000016525.1	0	25	5	73	0	0	18	Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanobrevibacter, Methanobrevibacter smithii ATCC 35061
GCF_000340865.1	0	7	3	24	1	3	10	Bacteria, Proteobacteria, Betaproteobacteria, Betaproteobacteria incertae sedis, Candidatus Kinetoplastibacterium, Candidatus Kinetoplastibacterium oncopeltii TCC290E
GCF_002211765.1	0	55	16	150	5	11	85	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina piscisalsi
GCF_000953635.1	0	91	11	111	9	16	83	Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Tatlockia micdadei
GCF_000317125.1	0	106	24	319	8	5	140	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Chroococcidiopsidales, Chroococcidiopsidaceae, Chroococcidiopsis, Chroococcidiopsis thermalis PCC 7203
GCF_000831645.3	0	36	6	176	11	8	119	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus heilongjiangensis
GCF_000696485.1	0	59	17	380	7	10	179	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas campaniensis
GCF_000510265.1	0	12	6	56	4	2	17	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Candidatus Endolissoclinum, Candidatus Endolissoclinum faulkneri L5
GCF_000007365.1	0	6	4	22	1	5	12	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Buchnera, Buchnera aphidicola, Buchnera aphidicola str. Sg (Schizaphis graminum)
GCF_001750165.1	0	126	13	291	10	14	103	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas luteoviolacea
GCF_000233715.2	0	63	28	182	5	3	64	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfallas, Desulfallas gibsoniae DSM 7213
GCF_000009065.1	0	0	63	0	322	0	0	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Yersinia, Yersinia pseudotuberculosis complex, Yersinia pestis CO92
GCF_001263175.1	0	107	22	103	4	10	61	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Myxococcales, Cystobacterineae, Vulgatibacteraceae, Vulgatibacter incomptus
GCF_000092205.1	0	67	10	172	2	4	35	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae, Desulfurivibrio, Desulfurivibrio alkaliphilus AHT 2
GCF_000010505.1	0	36	7	99	0	5	33	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, Porphyromonas gingivalis ATCC 33277
GCF_000802245.2	0	82	20	287	11	21	138	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces pluripotens
GCF_000020205.1	0	94	33	400	15	20	210	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia, Ralstonia pickettii 12J
GCF_000695235.1	0	115	24	437	14	18	200	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces albulus
GCF_000011445.1	0	4	2	70	3	0	18	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Mycoplasmatales, Mycoplasmataceae, Mycoplasma, Mycoplasma mycoides group, Mycoplasma mycoides, Mycoplasma mycoides subsp. mycoides, Mycoplasma mycoides subsp. mycoides SC str. PG1
GCF_000763535.1	0	137	23	424	17	21	220	Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio coralliilyticus
GCF_000023225.1	0	78	19	260	11	7	91	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfovibrionales, Desulfomicrobiaceae, Desulfomicrobium, Desulfomicrobium baculatum DSM 4028
GCF_000828615.1	0	97	18	163	8	10	55	Bacteria, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria incertae sedis, Thiolapillus brandeum
GCF_000973725.1	0	128	16	238	4	12	71	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Hymenobacteraceae, Pontibacter korlensis
GCF_001021935.1	0	104	16	231	9	10	116	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas, Xanthomonas translucens pv. undulosa
GCF_000725425.1	0	46	3	126	5	4	33	Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Palaeococcus, Palaeococcus pacificus DY20341
GCF_000747345.1	0	57	19	170	9	6	136	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus sp. X1(2014)
GCF_000015725.1	0	87	25	301	15	9	97	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiales genera incertae sedis, Methylibium, Methylibium petroleiphilum PM1
GCF_000027145.1	0	42	8	211	7	10	112	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Listeriaceae, Listeria, Listeria seeligeri serovar 1/2b str. SLCC3954
GCF_000163895.2	0	24	1	95	2	3	49	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae, Filifactor, Filifactor alocis ATCC 35896
GCF_000183725.1	0	71	11	165	6	4	46	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Sulfuricurvum, Sulfuricurvum kujiense DSM 16994
GCF_000017565.1	0	48	20	211	4	9	97	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhodobiaceae, Parvibaculum, Parvibaculum lavamentivorans DS-1
GCF_000264495.1	0	40	0	100	0	0	6	Archaea, TACK group, Crenarchaeota, Thermoprotei, Desulfurococcales, Desulfurococcaceae, Thermogladius, Thermogladius calderae 1633
GCF_000328665.1	0	37	3	105	4	3	34	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosarcinaceae, Methanomethylovorans, Methanomethylovorans hollandica DSM 15978
GCF_000316645.1	0	73	13	270	9	8	107	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Nostocaceae, Nostoc, Nostoc sp. PCC 7524
GCF_000183425.1	0	107	12	194	2	5	64	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Flammeovirgaceae, Marivirga, Marivirga tractuosa DSM 4126
GCF_000422165.1	0	13	2	103	6	3	79	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus helveticus CNRZ32
GCF_000152245.2	0	72	3	288	6	9	111	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Eubacterium, Eubacterium limosum KIST612
GCF_000006865.1	0	0	13	0	122	0	0	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus, Lactococcus lactis, Lactococcus lactis subsp. lactis Il1403
GCF_000389635.1	0	78	9	319	5	11	111	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium pasteurianum BC1
GCF_000016785.1	0	26	2	140	5	0	83	Bacteria, Thermotogae, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga, Thermotoga petrophila RKU-1
GCF_000014825.1	0	88	29	348	5	14	131	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Rhodopseudomonas, Rhodopseudomonas palustris BisA53
GCF_000024545.1	0	83	14	422	12	16	141	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Glycomycetales, Glycomycetaceae, Stackebrandtia, Stackebrandtia nassauensis DSM 44728
GCF_000341355.1	0	32	6	94	3	2	36	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bartonellaceae, Bartonella, Bartonella australis Aust/NH1
GCF_000019405.1	0	28	13	126	10	11	127	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Histophilus, Histophilus somni 2336
GCF_000159155.2	0	0	5	0	44	0	0	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, Gardnerella vaginalis ATCC 14019
GCF_000020365.1	0	85	26	431	17	4	119	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfobacterales, Desulfobacteraceae, Desulfobacterium, Desulfobacterium autotrophicum HRM2
GCF_000737325.1	0	212	24	177	9	20	68	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Myxococcales, Sorangiineae, Sandaracinaceae, Sandaracinus amylolyticus
GCF_000500935.1	0	25	2	53	4	3	15	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma, Spiroplasma apis B31
GCF_001578105.1	0	72	21	605	13	14	188	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Aurantimonadaceae, Martelella, Martelella sp. AD-3
GCF_000230555.1	0	86	12	459	4	11	129	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Pelagibacterium, Pelagibacterium halotolerans B2
GCF_000195855.1	0	0	7	0	35	0	0	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, Mycobacterium leprae TN
GCF_000017165.1	0	26	4	63	2	3	27	Archaea, Euryarchaeota, Methanomada group, Methanococci, Methanococcales, Methanococcaceae, Methanococcus, Methanococcus vannielii SB
GCF_000520015.2	0	124	49	274	15	28	345	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Chania, Chania multitudinisentens RB-25
GCF_000484505.1	0	78	3	260	3	12	100	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium autoethanogenum DSM 10061
GCF_000970045.1	0	43	10	175	3	1	58	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosarcinaceae, Methanosarcina, Methanosarcina sp. MTP4
GCF_000242255.2	0	88	14	190	7	20	106	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Rhodanobacteraceae, Frateuria, Frateuria aurantia DSM 6220
GCF_000172635.2	0	70	21	278	7	12	110	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas, Alteromonas macleodii ATCC 27126
GCF_000011805.1	0	0	50	0	231	0	0	Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Aliivibrio, Aliivibrio fischeri ES114
GCF_000260985.4	0	71	20	198	7	14	79	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Piscirickettsiaceae, Methylophaga nitratireducenticrescens
GCF_000576555.1	0	102	12	186	5	6	68	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Hymenobacteraceae, Hymenobacter, Hymenobacter swuensis DY53
GCF_000695095.2	0	140	15	176	6	6	64	Bacteria, FCB group, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, Gemmatimonas phototrophica
GCF_000153405.2	0	54	18	178	16	10	139	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Psychromonadaceae, Psychromonas, Psychromonas sp. CNPT3
GCF_000183405.1	0	59	7	158	3	2	42	Bacteria, Deferribacteres, Deferribacteres, Deferribacterales, Deferribacteraceae, Calditerrivibrio, Calditerrivibrio nitroreducens DSM 19672
GCF_000009765.2	0	86	26	477	14	23	185	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, Streptomyces avermitilis MA-4680 = NBRC 14893
GCF_001644565.1	0	32	9	171	4	7	41	Bacteria, Terrabacteria group, Deinococcus-Thermus, Deinococci, Deinococcales, Deinococcaceae, Deinococcus puniceus
GCF_000022065.1	0	57	3	173	5	3	59	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Hungateiclostridiaceae, Ruminiclostridium, Ruminiclostridium cellulolyticum H10
GCF_000253175.1	0	79	60	310	9	30	339	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Yersinia, Yersinia enterocolitica, Yersinia enterocolitica subsp. palearctica Y11
GCF_000723505.1	0	68	6	116	2	5	32	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Mucinivorans hirudinis
GCF_000012465.1	0	11	7	73	2	0	36	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Prochloraceae, Prochlorococcus, Prochlorococcus marinus str. NATL2A
GCF_000014385.1	0	19	6	151	7	4	83	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Oenococcus, Oenococcus oeni PSU-1
GCF_000963865.1	0	75	12	137	0	6	52	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Muricauda lutaonensis
GCF_000015265.1	0	59	23	295	4	15	77	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Propionibacteriales, Nocardioidaceae, Nocardioides, Nocardioides sp. JS614
GCF_000018425.1	0	22	4	96	3	3	32	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Candidatus Desulforudis, Candidatus Desulforudis audaxviator MP104C
GCF_000019345.1	0	9	1	43	0	0	7	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Mycoplasmatales, Mycoplasmataceae, Ureaplasma, Ureaplasma parvum, Ureaplasma parvum serovar 3 str. ATCC 27815
GCF_000093165.1	0	8	2	24	1	0	11	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Blattabacteriaceae, Blattabacterium, unclassified Blattabacterium, Blattabacterium sp. (Periplaneta americana) str. BPLAN
GCF_000005845.2	0	46	101	117	24	37	471	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia, Escherichia coli, Escherichia coli str. K-12 substr. MG1655
GCF_000300235.2	0	94	14	432	13	22	167	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Thalassospira, Thalassospira xiamenensis M-5 = DSM 17429
GCF_000021745.1	0	79	15	248	8	8	113	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Methylocella, Methylocella silvestris BL2
GCF_000008725.1	0	17	7	58	4	4	29	Bacteria, PVC group, Chlamydiae, Chlamydiia, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia, Chlamydia trachomatis D/UW-3/CX
GCF_000143165.1	0	21	3	89	3	3	17	Bacteria, Terrabacteria group, Chloroflexi, Dehalococcoidia, Dehalogenimonas, Dehalogenimonas lykanthroporepellens BL-DC-9
GCF_000250675.2	0	163	18	469	2	27	165	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Nocardiaceae, Nocardia, Nocardia brasiliensis ATCC 700358
GCF_000215975.1	0	37	8	76	6	3	20	Bacteria, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteriales, Thermodesulfobacteriaceae, Thermodesulfobacterium, Thermodesulfobacterium geofontis OPF15
GCF_000146065.2	0	25	1	88	2	3	13	Bacteria, FCB group, Candidatus Cloacimonetes, Candidatus Cloacimonas, Candidatus Cloacimonas acidaminovorans str. Evry
GCF_000253395.1	0	7	4	109	5	6	78	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, Streptococcus thermophilus JIM 8232
GCF_000008465.1	0	64	22	187	4	11	92	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina, Idiomarina loihiensis L2TR
GCF_000021285.1	0	33	2	153	1	3	42	Bacteria, Thermotogae, Thermotogae, Thermotogales, Fervidobacteriaceae, Thermosipho, Thermosipho africanus TCF52B
GCF_000189775.2	0	41	8	135	3	1	85	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Thermoanaerobacterium, Thermoanaerobacterium xylanolyticum LX-11
GCF_000194135.1	0	35	5	117	3	2	34	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfurellales, Desulfurellaceae, Hippea, Hippea maritima DSM 10411
GCF_001606025.1	0	53	15	201	4	9	107	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Psychrobacter alimentarius
GCF_000973085.1	0	52	7	93	4	2	41	Bacteria, Fusobacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia amnii
GCF_000941055.1	0	78	15	132	1	8	56	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Siansivirga, Siansivirga zeaxanthinifaciens CC-SAMT-1
GCF_000023705.1	0	55	16	164	6	9	53	Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Methylophilaceae, Methylotenera, Methylotenera mobilis JLW8
GCF_001050475.1	0	30	7	130	11	9	102	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus ginsenosidimutans
GCF_000260985.3	0	44	24	215	4	10	76	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Piscirickettsiaceae, Methylophaga nitratireducenticrescens
GCF_000987835.1	0	66	9	118	6	3	46	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Epsilonproteobacteria incertae sedis, Sulfurovum lithotrophicum
GCF_000018145.1	0	77	22	437	8	11	118	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Dinoroseobacter, Dinoroseobacter shibae DFL 12 = DSM 16493
GCF_000195735.1	0	0	6	0	31	0	0	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group, Rickettsia prowazekii str. Madrid E
GCF_000204925.1	0	33	6	93	1	3	23	Archaea, TACK group, Crenarchaeota, Thermoprotei, Sulfolobales, Sulfolobaceae, Metallosphaera, Metallosphaera cuprina Ar-4
GCF_001618685.1	0	41	23	206	5	7	122	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Geobacillus subterraneus
GCF_001682385.1	0	109	23	352	12	12	98	Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Zoogloeaceae, Azoarcus olearius
GCF_000219045.1	0	45	6	125	5	4	77	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Francisella salina
GCF_000981545.1	0	119	14	235	9	11	101	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Candidatus Filomicrobium marinum
GCF_000477435.1	0	25	8	109	5	4	46	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Candidatus Symbiobacter, Candidatus Symbiobacter mobilis CR
GCF_000550805.1	0	37	5	170	4	11	83	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium, Corynebacterium vitaeruminis DSM 20294
GCF_000829315.1	0	15	3	49	3	4	21	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Wolbachieae, Wolbachia endosymbiont of Cimex lectularius
GCF_000442645.1	0	41	5	161	6	8	76	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium, Corynebacterium maris DSM 45190
GCF_000284235.1	0	97	11	197	5	7	69	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Arcobacter group, Arcobacter sp. L
GCF_000022885.2	0	66	54	166	14	20	248	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Hafniaceae, Edwardsiella, Edwardsiella ictaluri 93-146
GCF_000010645.1	0	5	2	26	0	0	21	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidales incertae sedis, Candidatus Azobacteroides, Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
GCF_000007485.1	0	9	1	50	2	0	15	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcales incertae sedis, Tropheryma, Tropheryma whipplei str. Twist
GCF_000208405.1	0	48	2	152	3	2	76	Bacteria, Terrabacteria group, Firmicutes, Negativicutes, Selenomonadales, Selenomonadaceae, Selenomonas, Selenomonas sputigena ATCC 35185
GCF_000012725.1	0	47	13	177	6	10	63	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Nitrobacter, Nitrobacter winogradskyi Nb-255
GCF_000463355.1	0	24	6	127	9	7	84	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, Streptococcus anginosus group, Streptococcus intermedius B196
GCF_000973505.1	0	10	5	22	2	3	13	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Enterobacteriaceae incertae sedis, ant, tsetse, mealybug, aphid, etc. endosymbionts, ant endosymbionts, Candidatus Blochmannia, Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri
GCF_001951175.1	0	27	8	160	9	5	98	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus crustorum
